time,distance,position,state,cact_mode,SOC,action
0.01,0,P0,0,0,0.5,-1
0.02,0,P0,0,0,0.5,-1
0.03,0,P0,0,0,0.5,-1
0.04,0,P0,0,0,0.5,-1
0.05,0,P0,0,0,0.5,-1
0.06,0,P0,0,0,0.5,-1
0.07,0,P0,0,0,0.5,-1
0.08,0,P0,0,0,0.5,-1
0.09,0,P0,0,0,0.5,-1
0.1,0,P0,0,0,0.5,-1
0.11,0,P0,0,0,0.5,-1
0.12,0,P0,0,0,0.5,-1
0.13,0,P0,0,0,0.5,-1
0.14,0,P0,0,0,0.5,-1
0.15,0,P0,0,0,0.5,-1
0.16,0,P0,0,0,0.5,-1
0.17,0,P0,0,0,0.5,-1
0.18,0,P0,0,0,0.5,-1
0.19,0,P0,0,0,0.5,-1
0.2,0,P0,0,0,0.5,-1
0.21,0,P0,0,0,0.5,-1
0.22,0,P0,0,0,0.5,-1
0.23,0,P0,0,0,0.5,-1
0.24,0,P0,0,0,0.5,-1
0.25,0,P0,0,0,0.5,-1
0.26,0,P0,0,0,0.5,-1
0.27,0,P0,0,0,0.5,-1
0.28,0,P0,0,0,0.5,-1
0.29,0,P0,0,0,0.5,-1
0.3,0,P0,0,0,0.5,-1
0.31,0,P0,0,0,0.5,-1
0.32,0,P0,0,0,0.5,-1
0.33,0,P0,0,0,0.5,-1
0.34,0,P0,0,0,0.5,-1
0.35,0,P0,0,0,0.5,-1
0.36,0,P0,0,0,0.5,-1
0.37,0,P0,0,0,0.5,-1
0.38,0,P0,0,0,0.5,-1
0.39,0,P0,0,0,0.5,-1
0.4,0,P0,0,0,0.5,-1
0.41,0,P0,0,0,0.5,-1
0.42,0,P0,0,0,0.5,-1
0.43,0,P0,0,0,0.5,-1
0.44,0,P0,0,0,0.5,-1
0.45,0,P0,0,0,0.5,-1
0.46,0,P0,0,0,0.5,-1
0.47,0,P0,0,0,0.5,-1
0.48,0,P0,0,0,0.5,-1
0.49,0,P0,0,0,0.5,-1
0.5,0,P0,0,0,0.5,-1
0.51,0,P0,0,0,0.5,-1
0.52,0,P0,0,0,0.5,-1
0.53,0,P0,0,0,0.5,-1
0.54,0,P0,0,0,0.5,-1
0.55,0,P0,0,0,0.5,-1
0.56,0,P0,0,0,0.5,-1
0.57,0,P0,0,0,0.5,-1
0.58,0,P0,0,0,0.5,-1
0.59,0,P0,0,0,0.5,-1
0.6,0,P0,0,0,0.5,-1
0.61,0,P0,0,0,0.5,-1
0.62,0,P0,0,0,0.5,-1
0.63,0,P0,0,0,0.5,-1
0.64,0,P0,0,0,0.5,-1
0.65,0,P0,0,0,0.5,-1
0.66,0,P0,0,0,0.5,-1
0.67,0,P0,0,0,0.5,-1
0.68,0,P0,0,0,0.5,-1
0.69,0,P0,0,0,0.5,-1
0.7,0,P0,0,0,0.5,-1
0.71,0,P0,0,0,0.5,-1
0.72,0,P0,0,0,0.5,-1
0.73,0,P0,0,0,0.5,-1
0.74,0,P0,0,0,0.5,-1
0.75,0,P0,0,0,0.5,-1
0.76,0,P0,0,0,0.5,-1
0.77,0,P0,0,0,0.5,-1
0.78,0,P0,0,0,0.5,-1
0.79,0,P0,0,0,0.5,-1
0.8,1.0,0-1,0,0,0.4425,-1
0.81,2.0,0-1,0,0,0.4425,-1
0.82,3.0,0-1,0,0,0.4425,-1
0.83,4.0,0-1,0,0,0.4425,-1
0.84,5.0,0-1,0,0,0.4425,-1
0.85,6.0,0-1,0,0,0.4425,-1
0.86,7.0,0-1,0,0,0.4425,-1
0.87,8.0,0-1,0,0,0.4425,-1
0.88,9.0,0-1,0,0,0.4425,-1
0.89,10.0,0-1,0,0,0.4425,-1
0.9,11.0,0-1,0,0,0.4425,-1
0.91,12.0,0-1,0,0,0.4425,-1
0.92,13.0,0-1,0,0,0.4425,-1
0.93,14.0,0-1,0,0,0.4425,-1
0.94,15.0,0-1,0,0,0.4425,-1
0.95,16.0,0-1,0,0,0.4425,-1
0.96,17.0,0-1,0,0,0.4425,-1
0.97,18.0,0-1,0,0,0.4425,-1
0.98,19.0,0-1,0,0,0.4425,-1
0.99,20.0,0-1,0,0,0.4425,-1
1.0,21.0,0-1,0,0,0.4425,-1
1.01,22.0,0-1,0,0,0.4425,-1
1.02,23.0,0-1,0,0,0.4425,-1
1.03,23.0,P0,1,2,0.8,16
1.04,23.0,P0,1,2,0.8,16
1.05,23.0,P0,1,2,0.8,16
1.06,23.0,P0,1,2,0.8,16
1.07,23.0,P0,1,2,0.8,16
1.08,23.0,P0,1,2,0.8,16
1.09,23.0,P0,1,2,0.8,16
1.1,23.0,P0,1,2,0.8,16
1.11,23.0,P0,1,2,0.8,16
1.12,23.0,P0,1,2,0.8,16
1.13,23.0,P0,1,2,0.8,16
1.14,23.0,P0,1,2,0.8,16
1.15,23.0,P0,1,2,0.8,16
1.16,23.0,P0,1,2,0.8,16
1.17,23.0,P0,1,2,0.8,16
1.18,23.0,P0,1,2,0.8,16
1.19,23.0,P0,1,2,0.8,16
1.2,23.0,P0,1,2,0.8,16
1.21,23.0,P0,1,2,0.8,16
1.22,23.0,P0,1,2,0.8,16
1.23,23.0,P0,1,2,0.8,16
1.24,23.0,P0,1,2,0.8,16
1.25,23.0,P0,1,2,0.8,16
1.26,23.0,P0,1,2,0.8,16
1.27,23.0,P0,1,2,0.8,16
1.28,23.0,P0,1,2,0.8,16
1.29,23.0,P0,1,2,0.8,16
1.3,23.0,P0,1,2,0.8,16
1.31,23.0,P0,1,2,0.8,16
1.32,23.0,P0,1,2,0.8,16
1.33,23.0,P0,1,2,0.8,16
1.34,23.0,P0,1,2,0.8,16
1.35,23.0,P0,1,2,0.8,16
1.36,23.0,P0,1,2,0.8,16
1.37,23.0,P0,1,2,0.8,16
1.38,23.0,P0,1,2,0.8,16
1.39,23.0,P0,1,2,0.8,16
1.4,23.0,P0,1,2,0.8,16
1.41,23.0,P0,1,2,0.8,16
1.42,23.0,P0,1,2,0.8,16
1.43,23.0,P0,1,2,0.8,16
1.44,23.0,P0,1,2,0.8,16
1.45,23.0,P0,1,2,0.8,16
1.46,23.0,P0,1,2,0.8,16
1.47,23.0,P0,1,2,0.8,16
1.48,23.0,P0,1,2,0.8,16
1.49,23.0,P0,1,2,0.8,16
1.5,23.0,P0,1,2,0.8,16
1.51,23.0,P0,1,2,0.8,16
1.52,23.0,P0,1,2,0.8,16
1.53,23.0,P0,1,2,0.8,16
1.54,23.0,P0,1,2,0.8,16
1.55,23.0,P0,1,2,0.8,16
1.56,23.0,P0,1,2,0.8,16
1.57,23.0,P0,1,2,0.8,16
1.58,23.0,P0,1,2,0.8,16
1.59,23.0,P0,1,2,0.8,16
1.6,23.0,P0,1,2,0.8,16
1.61,23.0,P0,1,2,0.8,16
1.62,23.0,P0,1,2,0.8,16
1.63,23.0,P0,1,2,0.8,16
1.64,23.0,P0,1,2,0.8,16
1.65,23.0,P0,1,2,0.8,16
1.66,23.0,P0,1,2,0.8,16
1.67,23.0,P0,1,2,0.8,16
1.68,23.0,P0,1,2,0.8,16
1.69,23.0,P0,1,2,0.8,16
1.7,23.0,P0,1,2,0.8,16
1.71,23.0,P0,1,2,0.8,16
1.72,23.0,P0,1,2,0.8,16
1.73,23.0,P0,1,2,0.8,16
1.74,23.0,P0,1,2,0.8,16
1.75,23.0,P0,1,2,0.8,16
1.76,23.0,P0,1,2,0.8,16
1.77,23.0,P0,1,2,0.8,16
1.78,23.0,P0,1,2,0.8,16
1.79,23.0,P0,1,2,0.8,16
1.8,23.0,P0,1,2,0.8,16
1.81,23.0,P0,1,2,0.8,16
1.82,23.0,P0,1,2,0.8,16
1.83,23.0,P0,1,2,0.8,16
1.84,23.0,P0,1,2,0.8,16
1.85,23.0,P0,1,2,0.8,16
1.86,23.0,P0,1,2,0.8,16
1.87,23.0,P0,1,2,0.8,16
1.88,23.0,P0,1,2,0.8,16
1.89,23.0,P0,1,2,0.8,16
1.9,23.0,P0,1,2,0.8,16
1.91,23.0,P0,1,2,0.8,16
1.92,23.0,P0,1,2,0.8,16
1.93,23.0,P0,1,2,0.8,16
1.94,23.0,P0,1,2,0.8,16
1.95,23.0,P0,1,2,0.8,16
1.96,23.0,P0,1,2,0.8,16
1.97,23.0,P0,1,2,0.8,16
1.98,23.0,P0,1,2,0.8,16
1.99,23.0,P0,1,2,0.8,16
2.0,23.0,P0,1,2,0.8,16
2.01,23.0,P0,2,2,0.8,16
2.02,23.0,P0,2,2,0.8,16
2.03,23.0,P0,2,2,0.8,16
2.04,23.0,P0,2,2,0.8,16
2.05,23.0,P0,2,2,0.8,16
2.06,23.0,P0,2,2,0.8,16
2.07,23.0,P0,2,2,0.8,16
2.08,23.0,P0,2,2,0.8,16
2.09,23.0,P0,2,2,0.8,16
2.1,23.0,P0,2,2,0.8,16
2.11,23.0,P0,2,2,0.8,16
2.12,23.0,P0,2,2,0.8,16
2.13,23.0,P0,2,2,0.8,16
2.14,23.0,P0,2,2,0.8,16
2.15,23.0,P0,2,2,0.8,16
2.16,23.0,P0,2,2,0.8,16
2.17,23.0,P0,2,2,0.8,16
2.18,23.0,P0,2,2,0.8,16
2.19,23.0,P0,2,2,0.8,16
2.2,23.0,P0,2,2,0.8,16
