time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.5,-1,0.0
0.02,0,P0,0,,0.5,-1,0.0
0.03,0,P0,0,,0.5,-1,0.0
0.04,0,P0,0,,0.5,-1,0.0
0.05,0,P0,0,,0.5,-1,0.0
0.06,0,P0,0,,0.5,-1,0.0
0.07,0,P0,0,,0.5,-1,0.0
0.08,0,P0,0,,0.5,-1,0.0
0.09,0,P0,0,,0.5,-1,0.0
0.1,0,P0,0,,0.5,-1,0.0
0.11,0,P0,0,,0.5,-1,0.0
0.12,0,P0,0,,0.5,-1,0.0
0.13,1.0,0-6,0,,0.445,-1,0.0
0.14,2.0,0-6,0,,0.445,-1,0.0
0.15,3.0,0-6,0,,0.445,-1,0.0
0.16,4.0,0-6,0,,0.445,-1,0.0
0.17,5.0,0-6,0,,0.445,-1,0.0
0.18,6.0,0-6,0,,0.445,-1,0.0
0.19,7.0,0-6,0,,0.445,-1,0.0
0.2,8.0,0-6,0,,0.445,-1,0.0
0.21,9.0,0-6,0,,0.445,-1,0.0
0.22,10.0,0-6,0,,0.445,-1,0.0
0.23,11.0,0-6,0,,0.445,-1,0.0
0.24,12.0,0-6,0,,0.445,-1,0.0
0.25,13.0,0-6,0,,0.445,-1,0.0
0.26,14.0,0-6,0,,0.445,-1,0.0
0.27,15.0,0-6,0,,0.445,-1,0.0
0.28,16.0,0-6,0,,0.445,-1,0.0
0.29,17.0,0-6,0,,0.445,-1,0.0
0.3,18.0,0-6,0,,0.445,-1,0.0
0.31,19.0,0-6,0,,0.445,-1,0.0
0.32,20.0,0-6,0,,0.445,-1,0.0
0.33,21.0,0-6,0,,0.445,-1,0.0
0.34,22.0,0-6,0,,0.445,-1,0.0
0.35,22.0,P6,2,,0.9,18,1.0
0.36,22.0,P6,2,,0.9,18,1.0
0.37,22.0,P6,2,,0.9,18,1.0
0.38,22.0,P6,2,,0.9,18,1.0
0.39,22.0,P6,2,,0.9,18,1.0
0.4,22.0,P6,2,,0.9,18,1.0
0.41,22.0,P6,2,,0.9,18,1.0
0.42,22.0,P6,2,,0.9,18,1.0
0.43,22.0,P6,2,,0.9,18,1.0
0.44,22.0,P6,2,,0.9,18,1.0
0.45,22.0,P6,2,,0.9,18,1.0
0.46,22.0,P6,2,,0.9,18,1.0
0.47,22.0,P6,2,,0.9,18,1.0
0.48,22.0,P6,2,,0.9,18,1.0
0.49,22.0,P6,2,,0.9,18,1.0
0.5,22.0,P6,2,,0.9,18,1.0
0.51,22.0,P6,2,,0.9,18,1.0
0.52,22.0,P6,2,,0.9,18,1.0
0.53,22.0,P6,2,,0.9,18,1.0
0.54,22.0,P6,2,,0.9,18,1.0
0.55,22.0,P6,2,,0.9,18,1.0
0.56,22.0,P6,2,,0.9,18,1.0
0.57,22.0,P6,2,,0.9,18,1.0
0.58,22.0,P6,2,,0.9,18,1.0
0.59,22.0,P6,2,,0.9,18,1.0
0.6,22.0,P6,2,,0.9,18,1.0
0.61,22.0,P6,2,,0.9,18,1.0
0.62,22.0,P6,2,,0.9,18,1.0
0.63,22.0,P6,2,,0.9,18,1.0
0.64,22.0,P6,2,,0.9,18,1.0
0.65,22.0,P6,2,,0.9,18,1.0
0.66,22.0,P6,2,,0.9,18,1.0
0.67,22.0,P6,2,,0.9,18,1.0
0.68,22.0,P6,2,,0.9,18,1.0
0.69,22.0,P6,2,,0.9,18,1.0
0.7,22.0,P6,2,,0.9,18,1.0
0.71,22.0,P6,2,,0.9,18,1.0
0.72,22.0,P6,2,,0.9,18,1.0
0.73,22.0,P6,2,,0.9,18,1.0
0.74,22.0,P6,2,,0.9,18,1.0
0.75,22.0,P6,2,,0.9,18,1.0
0.76,22.0,P6,2,,0.9,18,1.0
0.77,22.0,P6,2,,0.9,18,1.0
0.78,22.0,P6,2,,0.9,18,1.0
0.79,22.0,P6,2,,0.9,18,1.0
0.8,22.0,P6,2,,0.9,18,1.0
0.81,22.0,P6,2,,0.9,18,1.0
0.82,22.0,P6,2,,0.9,18,1.0
0.83,22.0,P6,2,,0.9,18,1.0
0.84,22.0,P6,2,,0.9,18,1.0
0.85,22.0,P6,2,,0.9,18,1.0
0.86,22.0,P6,2,,0.9,18,1.0
0.87,22.0,P6,2,,0.9,18,1.0
0.88,22.0,P6,2,,0.9,18,1.0
0.89,22.0,P6,2,,0.9,18,1.0
0.9,22.0,P6,2,,0.9,18,1.0
0.91,22.0,P6,2,,0.9,18,1.0
0.92,22.0,P6,2,,0.9,18,1.0
0.93,22.0,P6,2,,0.9,18,1.0
0.94,22.0,P6,2,,0.9,18,1.0
0.95,22.0,P6,2,,0.9,18,1.0
0.96,22.0,P6,2,,0.9,18,1.0
0.97,22.0,P6,2,,0.9,18,1.0
0.98,22.0,P6,2,,0.9,18,1.0
0.99,22.0,P6,2,,0.9,18,1.0
1.0,22.0,P6,2,,0.9,18,1.0
1.01,22.0,P6,2,,0.9,18,1.0
1.02,22.0,P6,2,,0.9,18,1.0
1.03,22.0,P6,2,,0.9,18,1.0
1.04,22.0,P6,2,,0.9,18,1.0
1.05,22.0,P6,2,,0.9,18,1.0
1.06,22.0,P6,2,,0.9,18,1.0
1.07,22.0,P6,2,,0.9,18,1.0
1.08,22.0,P6,2,,0.9,18,1.0
1.09,22.0,P6,2,,0.9,18,1.0
1.1,22.0,P6,2,,0.9,18,1.0
1.11,22.0,P6,2,,0.9,18,1.0
1.12,22.0,P6,2,,0.9,18,1.0
1.13,22.0,P6,2,,0.9,18,1.0
1.14,22.0,P6,2,,0.9,18,1.0
1.15,22.0,P6,2,,0.9,18,1.0
1.16,22.0,P6,2,,0.9,18,1.0
1.17,22.0,P6,2,,0.9,18,1.0
1.18,22.0,P6,2,,0.9,18,1.0
1.19,22.0,P6,2,,0.9,18,1.0
1.2,22.0,P6,2,,0.9,18,1.0
1.21,22.0,P6,2,,0.9,18,1.0
1.22,22.0,P6,2,,0.9,18,1.0
1.23,22.0,P6,2,,0.9,18,1.0
1.24,22.0,P6,2,,0.9,18,1.0
1.25,22.0,P6,2,,0.9,18,1.0
1.26,22.0,P6,2,,0.9,18,1.0
1.27,22.0,P6,2,,0.9,18,1.0
1.28,22.0,P6,2,,0.9,18,1.0
1.29,22.0,P6,2,,0.9,18,1.0
1.3,22.0,P6,2,,0.9,18,1.0
1.31,22.0,P6,2,,0.9,18,1.0
1.32,22.0,P6,2,,0.9,18,1.0
1.33,22.0,P6,2,,0.9,18,1.0
1.34,22.0,P6,2,,0.9,18,1.0
1.35,22.0,P6,2,,0.9,18,1.0
1.36,22.0,P6,2,,0.9,18,1.0
1.37,22.0,P6,2,,0.9,18,1.0
1.38,22.0,P6,2,,0.9,18,1.0
1.39,22.0,P6,2,,0.9,18,1.0
1.4,22.0,P6,2,,0.9,18,1.0
1.41,22.0,P6,2,,0.9,18,1.0
1.42,22.0,P6,2,,0.9,18,1.0
1.43,22.0,P6,2,,0.9,18,1.0
1.44,22.0,P6,2,,0.9,18,1.0
1.45,22.0,P6,2,,0.9,18,1.0
1.46,22.0,P6,2,,0.9,18,1.0
1.47,22.0,P6,2,,0.9,18,1.0
1.48,22.0,P6,2,,0.9,18,1.0
1.49,22.0,P6,2,,0.9,18,1.0
1.5,22.0,P6,2,,0.9,18,1.0
1.51,22.0,P6,2,,0.9,18,1.0
1.52,22.0,P6,2,,0.9,18,1.0
1.53,22.0,P6,2,,0.9,18,1.0
1.54,22.0,P6,2,,0.9,18,1.0
1.55,22.0,P6,2,,0.9,18,1.0
1.56,22.0,P6,2,,0.9,18,1.0
1.57,22.0,P6,2,,0.9,18,1.0
1.58,22.0,P6,2,,0.9,18,1.0
1.59,22.0,P6,2,,0.9,18,1.0
1.6,22.0,P6,2,,0.9,18,1.0
1.61,22.0,P6,2,,0.9,18,1.0
1.62,22.0,P6,2,,0.9,18,1.0
1.63,22.0,P6,2,,0.9,18,1.0
1.64,22.0,P6,2,,0.9,18,1.0
1.65,22.0,P6,2,,0.9,18,1.0
1.66,22.0,P6,2,,0.9,18,1.0
1.67,22.0,P6,2,,0.9,18,1.0
1.68,22.0,P6,2,,0.9,18,1.0
1.69,22.0,P6,0,,0.9,18,0.0
1.7,23.0,6-9,0,,0.5425,-1,0.0
1.71,24.0,6-9,0,,0.5425,-1,0.0
1.72,25.0,6-9,0,,0.5425,-1,0.0
1.73,26.0,6-9,0,,0.5425,-1,0.0
1.74,27.0,6-9,0,,0.5425,-1,0.0
1.75,28.0,6-9,0,,0.5425,-1,0.0
1.76,29.0,6-9,0,,0.5425,-1,0.0
1.77,30.0,6-9,0,,0.5425,-1,0.0
1.78,31.0,6-9,0,,0.5425,-1,0.0
1.79,32.0,6-9,0,,0.5425,-1,0.0
1.8,33.0,6-9,0,,0.5425,-1,0.0
1.81,34.0,6-9,0,,0.5425,-1,0.0
1.82,35.0,6-9,0,,0.5425,-1,0.0
1.83,36.0,6-9,0,,0.5425,-1,0.0
1.84,37.0,6-9,0,,0.5425,-1,0.0
1.85,38.0,6-9,0,,0.5425,-1,0.0
1.86,39.0,6-9,0,,0.5425,-1,0.0
1.87,40.0,6-9,0,,0.5425,-1,0.0
1.88,41.0,6-9,0,,0.5425,-1,0.0
1.89,42.0,6-9,0,,0.5425,-1,0.0
1.9,43.0,6-9,0,,0.5425,-1,0.0
1.91,44.0,6-9,0,,0.5425,-1,0.0
1.92,45.0,6-9,0,,0.5425,-1,0.0
1.93,46.0,6-9,0,,0.5425,-1,0.0
1.94,47.0,6-9,0,,0.5425,-1,0.0
1.95,48.0,6-9,0,,0.5425,-1,0.0
1.96,49.0,6-9,0,,0.5425,-1,0.0
1.97,50.0,6-9,0,,0.5425,-1,0.0
1.98,51.0,6-9,0,,0.5425,-1,0.0
1.99,52.0,6-9,0,,0.5425,-1,0.0
2.0,53.0,6-9,0,,0.5425,-1,0.0
2.01,54.0,6-9,0,,0.5425,-1,0.0
2.02,55.0,6-9,0,,0.5425,-1,0.0
2.03,56.0,6-9,0,,0.5425,-1,0.0
2.04,57.0,6-9,0,,0.5425,-1,0.0
2.05,58.0,6-9,0,,0.5425,-1,0.0
2.06,59.0,6-9,0,,0.5425,-1,0.0
2.07,60.0,6-9,0,,0.5425,-1,0.0
2.08,61.0,6-9,0,,0.5425,-1,0.0
2.09,62.0,6-9,0,,0.5425,-1,0.0
2.1,63.0,6-9,0,,0.5425,-1,0.0
2.11,64.0,6-9,0,,0.5425,-1,0.0
2.12,65.0,6-9,0,,0.5425,-1,0.0
2.13,66.0,6-9,0,,0.5425,-1,0.0
2.14,67.0,6-9,0,,0.5425,-1,0.0
2.15,68.0,6-9,0,,0.5425,-1,0.0
2.16,69.0,6-9,0,,0.5425,-1,0.0
2.17,70.0,6-9,0,,0.5425,-1,0.0
