time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.5,-1,0.0
0.02,0,P0,0,,0.5,-1,0.0
0.03,0,P0,0,,0.5,-1,0.0
0.04,0,P0,0,,0.5,-1,0.0
0.05,0,P0,0,,0.5,-1,0.0
0.06,0,P0,0,,0.5,-1,0.0
0.07,0,P0,0,,0.5,-1,0.0
0.08,0,P0,0,,0.5,-1,0.0
0.09,0,P0,0,,0.5,-1,0.0
0.1,0,P0,0,,0.5,-1,0.0
0.11,0,P0,0,,0.5,-1,0.0
0.12,0,P0,0,,0.5,-1,0.0
0.13,0,P0,0,,0.5,-1,0.0
0.14,0,P0,0,,0.5,-1,0.0
0.15,0,P0,0,,0.5,-1,0.0
0.16,0,P0,0,,0.5,-1,0.0
0.17,0,P0,0,,0.5,-1,0.0
0.18,0,P0,0,,0.5,-1,0.0
0.19,0,P0,0,,0.5,-1,0.0
0.2,0,P0,0,,0.5,-1,0.0
0.21,0,P0,0,,0.5,-1,0.0
0.22,0,P0,0,,0.5,-1,0.0
0.23,0,P0,0,,0.5,-1,0.0
0.24,0,P0,0,,0.5,-1,0.0
0.25,0,P0,0,,0.5,-1,0.0
0.26,0,P0,0,,0.5,-1,0.0
0.27,0,P0,0,,0.5,-1,0.0
0.28,0,P0,0,,0.5,-1,0.0
0.29,0,P0,0,,0.5,-1,0.0
0.3,0,P0,0,,0.5,-1,0.0
0.31,0,P0,0,,0.5,-1,0.0
0.32,0,P0,0,,0.5,-1,0.0
0.33,0,P0,0,,0.5,-1,0.0
0.34,0,P0,0,,0.5,-1,0.0
0.35,0,P0,0,,0.5,-1,0.0
0.36,0,P0,0,,0.5,-1,0.0
0.37,0,P0,0,,0.5,-1,0.0
0.38,0,P0,0,,0.5,-1,0.0
0.39,1.0,0-1,0,,0.4425,-1,0.0
0.4,2.0,0-1,0,,0.4425,-1,0.0
0.41,3.0,0-1,0,,0.4425,-1,0.0
0.42,4.0,0-1,0,,0.4425,-1,0.0
0.43,5.0,0-1,0,,0.4425,-1,0.0
0.44,6.0,0-1,0,,0.4425,-1,0.0
0.45,7.0,0-1,0,,0.4425,-1,0.0
0.46,8.0,0-1,0,,0.4425,-1,0.0
0.47,9.0,0-1,0,,0.4425,-1,0.0
0.48,10.0,0-1,0,,0.4425,-1,0.0
0.49,11.0,0-1,0,,0.4425,-1,0.0
0.5,12.0,0-1,0,,0.4425,-1,0.0
0.51,13.0,0-1,0,,0.4425,-1,0.0
0.52,14.0,0-1,0,,0.4425,-1,0.0
0.53,15.0,0-1,0,,0.4425,-1,0.0
0.54,16.0,0-1,0,,0.4425,-1,0.0
0.55,17.0,0-1,0,,0.4425,-1,0.0
0.56,18.0,0-1,0,,0.4425,-1,0.0
0.57,19.0,0-1,0,,0.4425,-1,0.0
0.58,20.0,0-1,0,,0.4425,-1,0.0
0.59,21.0,0-1,0,,0.4425,-1,0.0
0.6,22.0,0-1,0,,0.4425,-1,0.0
0.61,23.0,0-1,0,,0.4425,-1,0.0
0.62,24.0,1-2,0,,0.355,-1,0.0
0.63,25.0,1-2,0,,0.355,-1,0.0
0.64,26.0,1-2,0,,0.355,-1,0.0
0.65,27.0,1-2,0,,0.355,-1,0.0
0.66,28.0,1-2,0,,0.355,-1,0.0
0.67,29.0,1-2,0,,0.355,-1,0.0
0.68,30.0,1-2,0,,0.355,-1,0.0
0.69,31.0,1-2,0,,0.355,-1,0.0
0.7,32.0,1-2,0,,0.355,-1,0.0
0.71,33.0,1-2,0,,0.355,-1,0.0
0.72,34.0,1-2,0,,0.355,-1,0.0
0.73,35.0,1-2,0,,0.355,-1,0.0
0.74,36.0,1-2,0,,0.355,-1,0.0
0.75,37.0,1-2,0,,0.355,-1,0.0
0.76,38.0,1-2,0,,0.355,-1,0.0
0.77,39.0,1-2,0,,0.355,-1,0.0
0.78,40.0,1-2,0,,0.355,-1,0.0
0.79,41.0,1-2,0,,0.355,-1,0.0
0.8,42.0,1-2,0,,0.355,-1,0.0
0.81,43.0,1-2,0,,0.355,-1,0.0
0.82,44.0,1-2,0,,0.355,-1,0.0
0.83,45.0,1-2,0,,0.355,-1,0.0
0.84,46.0,1-2,0,,0.355,-1,0.0
0.85,47.0,1-2,0,,0.355,-1,0.0
0.86,48.0,1-2,0,,0.355,-1,0.0
0.87,49.0,1-2,0,,0.355,-1,0.0
0.88,50.0,1-2,0,,0.355,-1,0.0
0.89,51.0,1-2,0,,0.355,-1,0.0
0.9,52.0,1-2,0,,0.355,-1,0.0
0.91,53.0,1-2,0,,0.355,-1,0.0
0.92,54.0,1-2,0,,0.355,-1,0.0
0.93,55.0,1-2,0,,0.355,-1,0.0
0.94,56.0,1-2,0,,0.355,-1,0.0
0.95,57.0,1-2,0,,0.355,-1,0.0
0.96,58.0,1-2,0,,0.355,-1,0.0
0.97,58.0,P2,2,,0.8,16,2.0
0.98,58.0,P2,2,,0.8,16,2.0
0.99,58.0,P2,2,,0.8,16,2.0
1.0,58.0,P2,2,,0.8,16,2.0
1.01,58.0,P2,2,,0.8,16,2.0
1.02,58.0,P2,2,,0.8,16,2.0
1.03,58.0,P2,2,,0.8,16,2.0
1.04,58.0,P2,2,,0.8,16,2.0
1.05,58.0,P2,2,,0.8,16,2.0
1.06,58.0,P2,2,,0.8,16,2.0
1.07,58.0,P2,2,,0.8,16,2.0
1.08,58.0,P2,2,,0.8,16,2.0
1.09,58.0,P2,2,,0.8,16,2.0
1.1,58.0,P2,2,,0.8,16,2.0
1.11,58.0,P2,2,,0.8,16,2.0
1.12,58.0,P2,2,,0.8,16,2.0
1.13,58.0,P2,2,,0.8,16,2.0
1.14,58.0,P2,2,,0.8,16,2.0
1.15,58.0,P2,2,,0.8,16,2.0
1.16,58.0,P2,2,,0.8,16,2.0
1.17,58.0,P2,2,,0.8,16,2.0
1.18,58.0,P2,2,,0.8,16,2.0
1.19,58.0,P2,2,,0.8,16,2.0
1.2,58.0,P2,2,,0.8,16,2.0
1.21,58.0,P2,2,,0.8,16,2.0
1.22,58.0,P2,2,,0.8,16,2.0
1.23,58.0,P2,2,,0.8,16,2.0
1.24,58.0,P2,2,,0.8,16,2.0
1.25,58.0,P2,2,,0.8,16,2.0
1.26,58.0,P2,2,,0.8,16,2.0
1.27,58.0,P2,2,,0.8,16,2.0
1.28,58.0,P2,2,,0.8,16,2.0
1.29,58.0,P2,2,,0.8,16,2.0
1.3,58.0,P2,2,,0.8,16,2.0
1.31,58.0,P2,2,,0.8,16,2.0
1.32,58.0,P2,2,,0.8,16,2.0
1.33,58.0,P2,2,,0.8,16,2.0
1.34,58.0,P2,2,,0.8,16,2.0
1.35,58.0,P2,2,,0.8,16,2.0
1.36,58.0,P2,2,,0.8,16,2.0
1.37,58.0,P2,2,,0.8,16,2.0
1.38,58.0,P2,2,,0.8,16,2.0
1.39,58.0,P2,2,,0.8,16,2.0
1.4,58.0,P2,2,,0.8,16,2.0
1.41,58.0,P2,2,,0.8,16,2.0
1.42,58.0,P2,2,,0.8,16,2.0
1.43,58.0,P2,2,,0.8,16,2.0
1.44,58.0,P2,2,,0.8,16,2.0
1.45,58.0,P2,2,,0.8,16,2.0
1.46,58.0,P2,2,,0.8,16,2.0
1.47,58.0,P2,2,,0.8,16,2.0
1.48,58.0,P2,2,,0.8,16,2.0
1.49,58.0,P2,2,,0.8,16,2.0
1.5,58.0,P2,2,,0.8,16,2.0
1.51,58.0,P2,2,,0.8,16,2.0
1.52,58.0,P2,2,,0.8,16,2.0
1.53,58.0,P2,2,,0.8,16,2.0
1.54,58.0,P2,2,,0.8,16,2.0
1.55,58.0,P2,2,,0.8,16,2.0
1.56,58.0,P2,2,,0.8,16,2.0
1.57,58.0,P2,2,,0.8,16,2.0
1.58,58.0,P2,2,,0.8,16,2.0
1.59,58.0,P2,2,,0.8,16,2.0
1.6,58.0,P2,2,,0.8,16,2.0
1.61,58.0,P2,2,,0.8,16,2.0
1.62,58.0,P2,2,,0.8,16,2.0
1.63,58.0,P2,2,,0.8,16,2.0
1.64,58.0,P2,2,,0.8,16,2.0
1.65,58.0,P2,2,,0.8,16,2.0
1.66,58.0,P2,2,,0.8,16,2.0
1.67,58.0,P2,2,,0.8,16,2.0
1.68,58.0,P2,2,,0.8,16,2.0
1.69,58.0,P2,2,,0.8,16,2.0
1.7,58.0,P2,2,,0.8,16,2.0
1.71,58.0,P2,2,,0.8,16,2.0
1.72,58.0,P2,2,,0.8,16,2.0
1.73,58.0,P2,2,,0.8,16,2.0
1.74,58.0,P2,2,,0.8,16,2.0
1.75,58.0,P2,2,,0.8,16,2.0
1.76,58.0,P2,2,,0.8,16,2.0
1.77,58.0,P2,2,,0.8,16,2.0
1.78,58.0,P2,2,,0.8,16,2.0
1.79,58.0,P2,2,,0.8,16,2.0
1.8,58.0,P2,2,,0.8,16,2.0
1.81,58.0,P2,2,,0.8,16,2.0
1.82,58.0,P2,2,,0.8,16,2.0
1.83,58.0,P2,2,,0.8,16,2.0
1.84,58.0,P2,2,,0.8,16,2.0
1.85,58.0,P2,2,,0.8,16,2.0
1.86,58.0,P2,2,,0.8,16,2.0
1.87,58.0,P2,2,,0.8,16,2.0
1.88,58.0,P2,2,,0.8,16,2.0
1.89,58.0,P2,2,,0.8,16,2.0
1.9,58.0,P2,2,,0.8,16,2.0
1.91,58.0,P2,2,,0.8,16,2.0
1.92,58.0,P2,2,,0.8,16,2.0
1.93,58.0,P2,2,,0.8,16,2.0
1.94,58.0,P2,2,,0.8,16,2.0
1.95,58.0,P2,2,,0.8,16,2.0
1.96,58.0,P2,2,,0.8,16,2.0
1.97,58.0,P2,2,,0.8,16,2.0
1.98,58.0,P2,2,,0.8,16,2.0
1.99,58.0,P2,2,,0.8,16,2.0
2.0,58.0,P2,2,,0.8,16,2.0
2.01,58.0,P2,2,,0.8,16,2.0
2.02,58.0,P2,2,,0.8,16,2.0
2.03,58.0,P2,2,,0.8,16,2.0
2.04,58.0,P2,2,,0.8,16,2.0
2.05,58.0,P2,2,,0.8,16,2.0
2.06,58.0,P2,2,,0.8,16,2.0
2.07,58.0,P2,0,,0.7050000000000001,16,0.0
2.08,59.0,2-3,0,,0.7050000000000001,-1,0.0
2.09,60.0,2-3,0,,0.7050000000000001,-1,0.0
2.1,61.0,2-3,0,,0.7050000000000001,-1,0.0
2.11,62.0,2-3,0,,0.7050000000000001,-1,0.0
2.12,63.0,2-3,0,,0.7050000000000001,-1,0.0
2.13,64.0,2-3,0,,0.7050000000000001,-1,0.0
2.14,65.0,2-3,0,,0.7050000000000001,-1,0.0
2.15,66.0,2-3,0,,0.7050000000000001,-1,0.0
2.16,67.0,2-3,0,,0.7050000000000001,-1,0.0
2.17,68.0,2-3,0,,0.7050000000000001,-1,0.0
