time,distance,position,state,cact_mode,SOC,action
0.01,0,P0,0,0,0.5,-1
0.02,0,P0,0,0,0.5,-1
0.03,0,P0,0,0,0.5,-1
0.04,0,P0,0,0,0.5,-1
0.05,0,P0,0,0,0.5,-1
0.06,0,P0,0,0,0.5,-1
0.07,0,P0,0,0,0.5,-1
0.08,0,P0,0,0,0.5,-1
0.09,0,P0,0,0,0.5,-1
0.1,0,P0,0,0,0.5,-1
0.11,0,P0,0,0,0.5,-1
0.12,0,P0,0,0,0.5,-1
0.13,0,P0,0,0,0.5,-1
0.14,0,P0,0,0,0.5,-1
0.15,0,P0,0,0,0.5,-1
0.16,0,P0,0,0,0.5,-1
0.17,0,P0,0,0,0.5,-1
0.18,0,P0,0,0,0.5,-1
0.19,0,P0,0,0,0.5,-1
0.2,0,P0,0,0,0.5,-1
0.21,0,P0,0,0,0.5,-1
0.22,0,P0,0,0,0.5,-1
0.23,0,P0,0,0,0.5,-1
0.24,0,P0,0,0,0.5,-1
0.25,0,P0,0,0,0.5,-1
0.26,0,P0,0,0,0.5,-1
0.27,0,P0,0,0,0.5,-1
0.28,0,P0,0,0,0.5,-1
0.29,0,P0,0,0,0.5,-1
0.3,0,P0,0,0,0.5,-1
0.31,0,P0,0,0,0.5,-1
0.32,0,P0,0,0,0.5,-1
0.33,0,P0,0,0,0.5,-1
0.34,0,P0,0,0,0.5,-1
0.35,0,P0,0,0,0.5,-1
0.36,0,P0,0,0,0.5,-1
0.37,0,P0,0,0,0.5,-1
0.38,0,P0,0,0,0.5,-1
0.39,0,P0,0,0,0.5,-1
0.4,0,P0,0,0,0.5,-1
0.41,0,P0,0,0,0.5,-1
0.42,0,P0,0,0,0.5,-1
0.43,0,P0,0,0,0.5,-1
0.44,0,P0,0,0,0.5,-1
0.45,0,P0,0,0,0.5,-1
0.46,0,P0,0,0,0.5,-1
0.47,0,P0,0,0,0.5,-1
0.48,0,P0,0,0,0.5,-1
0.49,0,P0,0,0,0.5,-1
0.5,0,P0,0,0,0.5,-1
0.51,0,P0,0,0,0.5,-1
0.52,0,P0,0,0,0.5,-1
0.53,0,P0,0,0,0.5,-1
0.54,0,P0,0,0,0.5,-1
0.55,0,P0,0,0,0.5,-1
0.56,1.0,0-6,0,0,0.445,-1
0.57,2.0,0-6,0,0,0.445,-1
0.58,3.0,0-6,0,0,0.445,-1
0.59,4.0,0-6,0,0,0.445,-1
0.6,5.0,0-6,0,0,0.445,-1
0.61,6.0,0-6,0,0,0.445,-1
0.62,7.0,0-6,0,0,0.445,-1
0.63,8.0,0-6,0,0,0.445,-1
0.64,9.0,0-6,0,0,0.445,-1
0.65,10.0,0-6,0,0,0.445,-1
0.66,11.0,0-6,0,0,0.445,-1
0.67,12.0,0-6,0,0,0.445,-1
0.68,13.0,0-6,0,0,0.445,-1
0.69,14.0,0-6,0,0,0.445,-1
0.7,15.0,0-6,0,0,0.445,-1
0.71,16.0,0-6,0,0,0.445,-1
0.72,17.0,0-6,0,0,0.445,-1
0.73,18.0,0-6,0,0,0.445,-1
0.74,19.0,0-6,0,0,0.445,-1
0.75,20.0,0-6,0,0,0.445,-1
0.76,21.0,0-6,0,0,0.445,-1
0.77,22.0,0-6,0,0,0.445,-1
0.78,23.0,6-7,0,0,0.3275,-1
0.79,24.0,6-7,0,0,0.3275,-1
0.8,25.0,6-7,0,0,0.3275,-1
0.81,26.0,6-7,0,0,0.3275,-1
0.82,27.0,6-7,0,0,0.3275,-1
0.83,28.0,6-7,0,0,0.3275,-1
0.84,29.0,6-7,0,0,0.3275,-1
0.85,30.0,6-7,0,0,0.3275,-1
0.86,31.0,6-7,0,0,0.3275,-1
0.87,32.0,6-7,0,0,0.3275,-1
0.88,33.0,6-7,0,0,0.3275,-1
0.89,34.0,6-7,0,0,0.3275,-1
0.9,35.0,6-7,0,0,0.3275,-1
0.91,36.0,6-7,0,0,0.3275,-1
0.92,37.0,6-7,0,0,0.3275,-1
0.93,38.0,6-7,0,0,0.3275,-1
0.94,39.0,6-7,0,0,0.3275,-1
0.95,40.0,6-7,0,0,0.3275,-1
0.96,41.0,6-7,0,0,0.3275,-1
0.97,42.0,6-7,0,0,0.3275,-1
0.98,43.0,6-7,0,0,0.3275,-1
0.99,44.0,6-7,0,0,0.3275,-1
1.0,45.0,6-7,0,0,0.3275,-1
1.01,46.0,6-7,0,0,0.3275,-1
1.02,47.0,6-7,0,0,0.3275,-1
1.03,48.0,6-7,0,0,0.3275,-1
1.04,49.0,6-7,0,0,0.3275,-1
1.05,50.0,6-7,0,0,0.3275,-1
1.06,51.0,6-7,0,0,0.3275,-1
1.07,52.0,6-7,0,0,0.3275,-1
1.08,53.0,6-7,0,0,0.3275,-1
1.09,54.0,6-7,0,0,0.3275,-1
1.1,55.0,6-7,0,0,0.3275,-1
1.11,56.0,6-7,0,0,0.3275,-1
1.12,57.0,6-7,0,0,0.3275,-1
1.13,58.0,6-7,0,0,0.3275,-1
1.14,59.0,6-7,0,0,0.3275,-1
1.15,60.0,6-7,0,0,0.3275,-1
1.16,61.0,6-7,0,0,0.3275,-1
1.17,62.0,6-7,0,0,0.3275,-1
1.18,63.0,6-7,0,0,0.3275,-1
1.19,64.0,6-7,0,0,0.3275,-1
1.2,65.0,6-7,0,0,0.3275,-1
1.21,66.0,6-7,0,0,0.3275,-1
1.22,67.0,6-7,0,0,0.3275,-1
1.23,68.0,6-7,0,0,0.3275,-1
1.24,69.0,6-7,0,0,0.3275,-1
1.25,70.0,7-8,0,0,0.15750000000000003,-1
1.26,71.0,7-8,0,0,0.15750000000000003,-1
1.27,72.0,7-8,0,0,0.15750000000000003,-1
1.28,73.0,7-8,0,0,0.15750000000000003,-1
1.29,74.0,7-8,0,0,0.15750000000000003,-1
1.3,75.0,7-8,0,0,0.15750000000000003,-1
1.31,76.0,7-8,0,0,0.15750000000000003,-1
1.32,77.0,7-8,0,0,0.15750000000000003,-1
1.33,78.0,7-8,0,0,0.15750000000000003,-1
1.34,79.0,7-8,0,0,0.15750000000000003,-1
1.35,80.0,7-8,0,0,0.15750000000000003,-1
1.36,81.0,7-8,0,0,0.15750000000000003,-1
1.37,82.0,7-8,0,0,0.15750000000000003,-1
1.38,83.0,7-8,0,0,0.15750000000000003,-1
1.39,84.0,7-8,0,0,0.15750000000000003,-1
1.4,85.0,7-8,0,0,0.15750000000000003,-1
1.41,86.0,7-8,0,0,0.15750000000000003,-1
1.42,87.0,7-8,0,0,0.15750000000000003,-1
1.43,88.0,7-8,0,0,0.15750000000000003,-1
1.44,89.0,7-8,0,0,0.15750000000000003,-1
1.45,90.0,7-8,0,0,0.15750000000000003,-1
1.46,91.0,7-8,0,0,0.15750000000000003,-1
1.47,92.0,7-8,0,0,0.15750000000000003,-1
1.48,93.0,7-8,0,0,0.15750000000000003,-1
1.49,94.0,7-8,0,0,0.15750000000000003,-1
1.5,95.0,7-8,0,0,0.15750000000000003,-1
1.51,96.0,7-8,0,0,0.15750000000000003,-1
1.52,97.0,7-8,0,0,0.15750000000000003,-1
1.53,98.0,7-8,0,0,0.15750000000000003,-1
1.54,99.0,7-8,0,0,0.15750000000000003,-1
1.55,100.0,7-8,0,0,0.15750000000000003,-1
1.56,101.0,7-8,0,0,0.15750000000000003,-1
1.57,102.0,7-8,0,0,0.15750000000000003,-1
1.58,103.0,7-8,0,0,0.15750000000000003,-1
1.59,104.0,7-8,0,0,0.15750000000000003,-1
1.6,105.0,7-8,0,0,0.15750000000000003,-1
1.61,106.0,7-8,0,0,0.15750000000000003,-1
1.62,107.0,7-8,0,0,0.15750000000000003,-1
1.63,108.0,7-8,0,0,0.15750000000000003,-1
1.64,109.0,7-8,0,0,0.15750000000000003,-1
1.65,110.0,7-8,0,0,0.15750000000000003,-1
1.66,111.0,7-8,0,0,0.15750000000000003,-1
1.67,112.0,7-8,0,0,0.15750000000000003,-1
1.68,113.0,7-8,0,0,0.15750000000000003,-1
1.69,114.0,7-8,0,0,0.15750000000000003,-1
1.7,115.0,7-8,0,0,0.15750000000000003,-1
1.71,116.0,7-8,0,0,0.15750000000000003,-1
1.72,117.0,7-8,0,0,0.15750000000000003,-1
1.73,118.0,7-8,0,0,0.15750000000000003,-1
1.74,119.0,7-8,0,0,0.15750000000000003,-1
1.75,120.0,7-8,0,0,0.15750000000000003,-1
1.76,121.0,7-8,0,0,0.15750000000000003,-1
1.77,122.0,7-8,0,0,0.15750000000000003,-1
1.78,123.0,7-8,0,0,0.15750000000000003,-1
1.79,124.0,7-8,0,0,0.15750000000000003,-1
1.8,125.0,7-8,0,0,0.15750000000000003,-1
1.81,126.0,7-8,0,0,0.15750000000000003,-1
1.82,127.0,7-8,0,0,0.15750000000000003,-1
1.83,128.0,7-8,0,0,0.15750000000000003,-1
1.84,129.0,7-8,0,0,0.15750000000000003,-1
1.85,130.0,7-8,0,0,0.15750000000000003,-1
1.86,131.0,7-8,0,0,0.15750000000000003,-1
1.87,132.0,7-8,0,0,0.15750000000000003,-1
1.88,133.0,7-8,0,0,0.15750000000000003,-1
1.89,134.0,7-8,0,0,0.15750000000000003,-1
1.9,135.0,7-8,0,0,0.15750000000000003,-1
1.91,136.0,7-8,0,0,0.15750000000000003,-1
