time,distance,position,state,cact_mode,SOC,action,act_mode
0.05,0,P0,0,,0.5,-1,0.0
0.1,0,P0,0,,0.5,-1,0.0
0.15,0,P0,0,,0.5,-1,0.0
0.2,0,P0,0,,0.5,-1,0.0
0.25,0,P0,0,,0.5,-1,0.0
0.3,0,P0,0,,0.5,-1,0.0
0.35,0,P0,0,,0.5,-1,0.0
0.4,0,P0,0,,0.5,-1,0.0
0.45,0,P0,0,,0.5,-1,0.0
0.5,0,P0,0,,0.5,-1,0.0
0.55,0,P0,0,,0.5,-1,0.0
0.6,5.0,0-2,0,,0.45,-1,0.0
0.65,10.0,0-2,0,,0.45,-1,0.0
0.7,15.0,0-2,0,,0.45,-1,0.0
0.75,20.0,0-2,0,,0.45,-1,0.0
0.8,25.0,2-3,0,,0.4,-1,0.0
0.85,30.0,2-3,0,,0.4,-1,0.0
0.9,35.0,2-3,0,,0.4,-1,0.0
0.95,40.0,2-3,0,,0.4,-1,0.0
1.0,45.0,3-4,0,,0.35000000000000003,-1,0.0
1.05,50.0,3-4,0,,0.35000000000000003,-1,0.0
1.1,55.0,3-4,0,,0.35000000000000003,-1,0.0
1.15,60.0,3-4,0,,0.35000000000000003,-1,0.0
1.2,65.0,4-5,0,,0.30000000000000004,-1,0.0
1.25,70.0,4-5,0,,0.30000000000000004,-1,0.0
1.3,75.0,4-5,0,,0.30000000000000004,-1,0.0
1.35,80.0,4-5,0,,0.30000000000000004,-1,0.0
1.4,85.0,5-7,0,,0.25000000000000006,-1,0.0
1.45,90.0,5-7,0,,0.25000000000000006,-1,0.0
1.5,95.0,5-7,0,,0.25000000000000006,-1,0.0
1.55,100.0,5-7,0,,0.25000000000000006,-1,0.0
1.6,100.0,P7,2,,0.8,16,5.0
1.65,100.0,P7,2,,0.8,16,5.0
1.7,100.0,P7,2,,0.8,16,5.0
1.75,100.0,P7,2,,0.8,16,5.0
1.8,100.0,P7,2,,0.8,16,5.0
1.85,100.0,P7,2,,0.8,16,5.0
1.9,100.0,P7,2,,0.8,16,5.0
1.95,100.0,P7,2,,0.8,16,5.0
2.0,100.0,P7,2,,0.8,16,5.0
2.05,100.0,P7,2,,0.8,16,5.0
2.1,100.0,P7,2,,0.8,16,5.0
2.15,100.0,P7,2,,0.8,16,5.0
2.2,100.0,P7,2,,0.8,16,5.0
2.25,100.0,P7,2,,0.8,16,5.0
2.3,100.0,P7,2,,0.8,16,5.0
2.35,100.0,P7,2,,0.8,16,5.0
2.4,100.0,P7,2,,0.8,16,5.0
2.45,100.0,P7,2,,0.8,16,5.0
2.5,100.0,P7,2,,0.8,16,5.0
2.55,100.0,P7,2,,0.8,16,5.0
2.6,100.0,P7,2,,0.8,16,5.0
2.65,100.0,P7,2,,0.8,16,5.0
2.7,100.0,P7,2,,0.8,16,5.0
2.75,100.0,P7,2,,0.8,16,5.0
2.8,100.0,P7,2,,0.8,16,5.0
2.85,100.0,P7,2,,0.8,16,5.0
2.9,100.0,P7,2,,0.8,16,5.0
2.95,100.0,P7,0,,0.8,-1,0.0
3.0,105.0,7-15,0,,0.75,-1,0.0
3.05,110.0,7-15,0,,0.75,-1,0.0
3.1,115.0,7-15,0,,0.75,-1,0.0
3.15,120.0,7-15,0,,0.75,-1,0.0
3.2,125.0,15-16,0,,0.7,-1,0.0
3.25,130.0,15-16,0,,0.7,-1,0.0
3.3,135.0,15-16,0,,0.7,-1,0.0
3.35,140.0,15-16,0,,0.7,-1,0.0
3.4,145.0,16-18,0,,0.6499999999999999,-1,0.0
3.45,150.0,16-18,0,,0.6499999999999999,-1,0.0
3.5,155.0,16-18,0,,0.6499999999999999,-1,0.0
3.55,160.0,16-18,0,,0.6499999999999999,-1,0.0
3.6,165.0,18-23,0,,0.5499999999999999,-1,0.0
3.65,170.0,18-23,0,,0.5499999999999999,-1,0.0
3.7,175.0,18-23,0,,0.5499999999999999,-1,0.0
3.75,180.0,18-23,0,,0.5499999999999999,-1,0.0
3.8,185.0,18-23,0,,0.5499999999999999,-1,0.0
3.85,190.0,18-23,0,,0.5499999999999999,-1,0.0
3.9,195.0,18-23,0,,0.5499999999999999,-1,0.0
3.95,200.0,18-23,0,,0.5499999999999999,-1,0.0
